File format - 1
# of Tracks - 8
Ticks/quarter note - 120

Start of track 1 at Byte 14
Track length: 82
0, Sequencer-specific event
0, Sequence/Track Name event
0, Instrument name event
0, MIDI Port
0, Tempo to 810810 usec/quarter note
0, Key signature event
0, Time Signature event
0,End of track

Start of track 2 at Byte 104
Track length: 30036
0, Sequence/Track Name event
0, Instrument name event
0, MIDI Port
0, Control change event, Channel: 1
0, Program change event, Channel: 1
1725,Off,B4,1
1725,Off,F#4,1
1725,Off,B3,1
1725,Off,F#3,1
1725,On,F#5,1
1725,On,D5,1
1725,On,B4,1
1725,On,F#4,1
1725,On,B3,1
1725,On,F#3,1
1732,Off,F#5,1
1732,Off,D5,1
1732,Off,B4,1
1732,Off,F#4,1
1732,Off,B3,1
1732,Off,F#3,1
1732,On,F#5,1
1732,On,D5,1
1732,On,B4,1
1732,On,F#4,1
1732,On,B3,1
1732,On,F#3,1
1745,Off,F#5,1
1745,Off,D5,1
1745,Off,B4,1
1745,Off,F#4,1
1745,Off,B3,1
1745,Off,F#3,1
1745,On,F#5,1
1745,On,D5,1
1745,On,B4,1
1745,On,F#4,1
1745,On,B3,1
1745,On,F#3,1
1751,Off,F#5,1
1751,Off,D5,1
1751,Off,B4,1
1751,Off,F#4,1
1751,Off,B3,1
1751,Off,F#3,1
1751,On,F#5,1
1751,On,D5,1
1751,On,B4,1
1751,On,F#4,1
1751,On,B3,1
1751,On,F#3,1
1764,Off,F#5,1
1764,Off,D5,1
1764,Off,B4,1
1764,Off,F#4,1
1764,Off,B3,1
1764,Off,F#3,1
1764,On,F#3,1
1764,On,C#4,1
1764,On,F#4,1
1764,On,A#4,1
1764,On,C#5,1
1764,On,F#5,1
1777,Off,F#3,1
1777,Off,C#4,1
1777,Off,F#4,1
1777,Off,A#4,1
1777,Off,C#5,1
1777,Off,F#5,1
1777,On,F#5,1
1777,On,C#5,1
1777,On,A#4,1
1777,On,F#4,1
1777,On,C#4,1
1777,On,F#3,1
1784,Off,F#5,1
1784,Off,C#5,1
1784,Off,A#4,1
1784,Off,F#4,1
1784,Off,C#4,1
1784,Off,F#3,1
1784,On,F#5,1
1784,On,C#5,1
1784,On,A#4,1
1784,On,F#4,1
1784,On,C#4,1
1784,On,F#3,1
1790,Off,F#5,1
1790,Off,C#5,1
1790,Off,A#4,1
1790,Off,F#4,1
1790,Off,C#4,1
1790,Off,F#3,1
1790,On,F#5,1
1790,On,A#4,1
1790,On,C#5,1
1790,On,F#4,1
1790,On,C#4,1
1790,On,F#3,1
1803,Off,F#5,1
1803,Off,A#4,1
1803,Off,C#5,1
1803,Off,F#4,1
1803,Off,C#4,1
1803,Off,F#3,1
1803,On,F#5,1
1803,On,C#5,1
1803,On,A#4,1
1803,On,F#4,1
1803,On,C#4,1
1803,On,F#3,1
1810,Off,F#5,1
1810,Off,C#5,1
1810,Off,A#4,1
1810,Off,F#4,1
1810,Off,C#4,1
1810,Off,F#3,1
1810,On,F#5,1
1810,On,C#5,1
1810,On,A#4,1
1810,On,F#4,1
1810,On,C#4,1
1810,On,F#3,1
1816,Off,F#5,1
1816,Off,C#5,1
1816,Off,A#4,1
1816,Off,F#4,1
1816,Off,C#4,1
1816,Off,F#3,1
1816,On,F#5,1
1816,On,C#5,1
1816,On,A#4,1
1816,On,F#4,1
1816,On,C#4,1
1816,On,F#3,1
1855,Off,F#5,1
1855,Off,C#5,1
1855,Off,A#4,1
1855,Off,F#4,1
1855,Off,C#4,1
1855,Off,F#3,1
1855,On,F#5,1
1855,On,C#5,1
1855,On,A#4,1
1855,On,F#4,1
1855,On,C#4,1
1855,On,F#3,1
1861,Off,F#5,1
1861,Off,C#5,1
1861,Off,A#4,1
1861,Off,F#4,1
1861,Off,C#4,1
1861,Off,F#3,1
1862,On,F#5,1
1862,On,C#5,1
1862,On,A#4,1
1862,On,F#4,1
1862,On,C#4,1
1862,On,F#3,1
1868,Off,F#5,1
1868,Off,C#5,1
1868,Off,A#4,1
1868,Off,F#4,1
1868,Off,C#4,1
1868,Off,F#3,1
1868,On,E3,1
1868,On,A3,1
1868,On,E4,1
1868,On,A4,1
1868,On,C#5,1
1868,On,E5,1
1881,Off,E3,1
1881,Off,A3,1
1881,Off,E4,1
1881,Off,A4,1
1881,Off,C#5,1
1881,Off,E5,1
1881,On,E5,1
1881,On,C#5,1
1881,On,A4,1
1881,On,E4,1
1881,On,A3,1
1881,On,E3,1
1887,Off,E5,1
1887,Off,C#5,1
1887,Off,A4,1
1887,Off,E4,1
1887,Off,A3,1
1887,Off,E3,1
1888,On,E5,1
1888,On,C#5,1
1888,On,A4,1
1888,On,E4,1
1888,On,A3,1
1888,On,E3,1
1894,Off,E5,1
1894,Off,C#5,1
1894,Off,A4,1
1894,Off,E4,1
1894,Off,A3,1
1894,Off,E3,1
1894,On,E5,1
1894,On,C#5,1
1894,On,A4,1
1894,On,E4,1
1894,On,A3,1
1894,On,E3,1
1907,Off,E5,1
1907,Off,C#5,1
1907,Off,A4,1
1907,Off,E4,1
1907,Off,A3,1
1907,Off,E3,1
1907,On,E5,1
1907,On,C#5,1
1907,On,A4,1
1907,On,E4,1
1907,On,A3,1
1907,On,E3,1
1913,Off,E5,1
1913,Off,C#5,1
1913,Off,A4,1
1913,Off,E4,1
1913,Off,A3,1
1913,Off,E3,1
1914,On,E5,1
1914,On,C#5,1
1914,On,A4,1
1914,On,E4,1
1914,On,A3,1
1914,On,E3,1
1920,Off,E5,1
1920,Off,C#5,1
1920,Off,A4,1
1920,Off,E4,1
1920,Off,A3,1
1920,Off,E3,1
1920,On,E5,1
1920,On,C#5,1
1920,On,A4,1
1920,On,E4,1
1920,On,A3,1
1920,On,E3,1
1926,Off,E5,1
1926,Off,C#5,1
1926,Off,A4,1
1926,Off,E4,1
1926,Off,A3,1
1926,Off,E3,1
1926,On,E5,1
1926,On,C#5,1
1926,On,A4,1
1926,On,E4,1
1926,On,A3,1
1926,On,E3,1
1933,Off,E5,1
1933,Off,C#5,1
1933,Off,A4,1
1933,Off,E4,1
1933,Off,A3,1
1933,Off,E3,1
1933,On,E5,1
1933,On,C#5,1
1933,On,A4,1
1933,On,E4,1
1933,On,A3,1
1933,On,E3,1
1939,Off,E5,1
1939,Off,C#5,1
1939,Off,A4,1
1939,Off,E4,1
1939,Off,A3,1
1939,Off,E3,1
1939,On,E5,1
1939,On,C#5,1
1939,On,A4,1
1939,On,E4,1
1939,On,A3,1
1939,On,E3,1
1952,Off,E5,1
1952,Off,C#5,1
1952,Off,A4,1
