File format - 1
# of Tracks - 13
Ticks/quarter note - 96

Start of track 1at Byte 14
Track length: 344
0: Tempo to 262912 usec/quarter note
0: Time Signature event
385920: Tempo to 328205 usec/quarter note
447360: Tempo to 262912 usec/quarter note

Start of track 2at Byte 366
Track length: 20409
96291: Off, G#2
96291: On, G#2
96411: Off, G#2
96411: On, G#2
96531: Off, G#2
96531: On, G#2
96651: Off, G#2
96651: On, G#2
96771: Off, G#2
96771: On, G#2
96891: Off, G#2
96891: On, G#2
97011: Off, G#2
97011: On, G#2
97131: Off, G#2
97131: On, G#2
97251: Off, G#2
97251: On, G#2
97371: Off, G#2
97371: On, G#2
97491: Off, G#2
97491: On, G#2
97611: Off, G#2
97611: On, G#2
97731: Off, G#2
97731: On, G#2
97851: Off, G#2
97851: On, G#2
97971: Off, G#2
97971: On, G#2
98091: Off, G#2
98091: On, G#2
98211: Off, G#2
98211: On, G#2
98331: Off, G#2
98331: On, G#2
98451: Off, G#2
98451: On, G#2
98571: Off, G#2
98571: On, G#2
98691: Off, G#2
98691: On, G#2
98811: Off, G#2
98811: On, G#2
98931: Off, G#2
98931: On, G#2
99051: Off, G#2
99051: On, C3
99258: Off, C3
101547: Off, F2
101547: On, F2
101667: Off, F2
101667: On, F2
101787: Off, F2
101787: On, F2
101907: Off, F2
101907: On, F2
102027: Off, F2
102027: On, F2
102147: Off, F2
102147: On, F2
102267: Off, F2
102267: On, F2
102387: Off, F2
102387: On, F2
102507: Off, F2
102507: On, F2
102627: Off, F2
102627: On, F2
102747: Off, F2
102747: On, F2
102867: Off, F2
102867: On, F2
102987: Off, F2
102987: On, F2
103107: Off, F2
103107: On, F2
103227: Off, F2
103227: On, F2
103347: Off, F2
103347: On, F2
103467: Off, F2
103467: On, F2
103587: Off, F2
103587: On, F2
103707: Off, F2
103707: On, F2
103827: Off, F2
103827: On, F2
103947: Off, F2
103947: On, F2
104067: Off, F2
104067: On, F2
104187: Off, F2
104187: On, F2
104307: Off, F2
104307: On, F2
104427: Off, F2
104427: On, F2
104547: Off, F2
104547: On, F2
104667: Off, F2
104667: On, F2
104787: Off, F2
104787: On, F2
104907: Off, F2
104907: On, F2
105027: Off, F2
