File format - 1
# of Tracks - 8
Ticks/quarter note - 192

Start of track 1 at Byte 14
Track length: 19
0, Time Signature event
0, Tempo to 789473 usec/quarter note
0,End of track

Start of track 2 at Byte 41
Track length: 9410
0, Sequence/Track Name event
0, Program change event, Channel: 1
0, Control change event, Channel: 1
771,Off,D4,1
771,Off,G4,1
771,Off,B4,1
783,Off,G3,1
783,On,D4,1
789,Off,D4,1
789,On,G4,1
796,Off,G4,1
796,On,B4,1
802,Off,B4,1
802,On,A#4,1
808,On,D4,1
808,On,G4,1
808,Off,A#4,1
815,Off,D4,1
815,On,D#4,1
815,Off,G4,1
815,On,G#4,1
821,Off,D#4,1
821,Off,G#4,1
821,On,G#4,1
821,On,C5,1
827,Off,G#4,1
827,Off,C5,1
827,On,C5,1
827,On,D#5,1
827,On,G#5,1
834,On,D#4,1
834,On,G#4,1
834,Off,C5,1
834,On,C5,1
834,Off,D#5,1
834,On,D#5,1
834,Off,G#5,1
834,Off,D#4,1
834,Off,G#4,1
834,Off,C5,1
834,Off,D#5,1
840,On,D#5,1
840,Off,D#5,1
840,On,D#5,1
846,On,D#4,1
846,On,G4,1
846,On,A#4,1
846,Off,D#5,1
846,On,D#5,1
909,On,C4,1
909,Off,D#4,1
909,Off,G4,1
909,Off,A#4,1
909,Off,D#5,1
947,On,G3,1
947,Off,C4,1
1011,Off,G3,1
1011,On,G#3,1
1048,Off,G#3,1
1048,On,D#3,1
1112,Off,D#3,1
1112,On,C4,1
1149,On,G3,1
1149,Off,C4,1
1213,Off,G3,1
1213,On,G#3,1
1251,Off,G#3,1
1251,On,D#3,1
1314,Off,D#3,1
1314,On,C4,1
1352,On,G3,1
1352,Off,C4,1
1415,Off,G3,1
1415,On,G#3,1
1453,Off,G#3,1
1453,On,D#3,1
1516,Off,D#3,1
1516,On,C4,1
1516,On,F4,1
1516,On,A#4,1
1516,On,D5,1
1528,Off,C4,1
1528,Off,F4,1
1528,On,G4,1
1528,Off,A#4,1
1528,Off,D5,1
1528,On,D#5,1
1535,Off,G4,1
1535,On,A#4,1
1535,Off,D#5,1
1535,On,D#5,1
1535,On,G5,1
1541,On,C4,1
1541,On,G4,1
1541,Off,A#4,1
1541,On,A#4,1
1541,Off,D#5,1
1541,On,D#5,1
1541,Off,G5,1
1541,Off,C4,1
1541,Off,G4,1
1541,Off,A#4,1
1541,Off,D#5,1
1554,On,G3,1
1554,On,D4,1
1554,On,G4,1
1554,On,B4,1
1579,Off,G3,1
1579,On,G3,1
1579,Off,D4,1
1579,Off,G4,1
1579,Off,B4,1
1592,Off,G3,1
1592,On,D4,1
1598,Off,D4,1
1598,On,G4,1
1604,Off,G4,1
1604,On,B4,1
1611,Off,B4,1
1611,On,A#4,1
1617,On,D4,1
1617,On,G4,1
1617,Off,A#4,1
1623,Off,D4,1
1623,On,D#4,1
1623,Off,G4,1
1623,On,G#4,1
1629,Off,D#4,1
1629,Off,G#4,1
1629,On,G#4,1
1629,On,C5,1
1636,Off,G#4,1
1636,Off,C5,1
1636,On,C5,1
1636,On,D#5,1
1636,On,G#5,1
1642,On,D#4,1
1642,On,G#4,1
1642,Off,C5,1
1642,On,C5,1
1642,Off,D#5,1
1642,On,D#5,1
1642,Off,G#5,1
1642,Off,D#4,1
1642,Off,G#4,1
1642,Off,C5,1
1642,Off,D#5,1
1648,On,D#4,1
1648,On,G#4,1
1648,On,C5,1
1648,On,D#5,1
1649,Off,D#4,1
1649,Off,G#4,1
1649,Off,C5,1
1649,Off,D#5,1
1655,On,D#4,1
1655,On,G4,1
1655,On,A#4,1
1655,On,D#5,1
1680,On,D#3,1
1680,Off,D#4,1
1680,Off,G4,1
1680,Off,A#4,1
1680,Off,D#5,1
1693,Off,D#3,1
1693,On,F4,1
1699,Off,F4,1
1699,On,G4,1
1705,Off,G4,1
1705,On,A#4,1
1705,On,D#5,1
1718,On,G4,1
1718,Off,A#4,1
1718,Off,D#5,1
1731,Off,G4,1
1731,On,A#4,1
1731,On,D#5,1
1743,Off,A#4,1
1743,On,C5,1
1743,Off,D#5,1
1756,Off,C5,1
1756,On,D#5,1
1756,On,G5,1
1781,On,C5,1
1781,Off,D#5,1
1781,Off,G5,1
1794,Off,C5,1
1794,On,G5,1
1794,On,A#5,1
1806,Off,G5,1
1806,On,F5,1
1806,Off,A#5,1
1806,On,G#5,1
1819, Tempo to 526315 usec/quarter note
1819,Off,F5,1
1819,On,D#5,1
1819,Off,G#5,1
1819,On,G#5,1
1823,Off,D#5,1
1823,On,F5,1
1823,Off,G#5,1
1827,Off,F5,1
1827,On,D#5,1
1832, Tempo to 789473 usec/quarter note
1832,On,C5,1
1832,Off,D#5,1
1844,Off,C5,1
1844,On,D#5,1
1844,On,G5,1
1857,On,A#4,1
1857,Off,D#5,1
1857,On,D#5,1
1857,Off,G5,1
1920,On,C4,1
1920,Off,A#4,1
1920,Off,D#5,1
1958,On,G3,1
1958,Off,C4,1
2021,Off,G3,1
2021,On,G#3,1
2059,On,D#3,1
2059,Off,G#3,1
2097,Off,D#3,1
2097,On,A#4,1
2097,Off,A#4,1
2122,On,C4,1
2160,On,G3,1
2160,Off,C4,1
2223,Off,G3,1
2223,On,G#3,1
2261,On,D#3,1
2261,Off,G#3,1
2299,Off,D#3,1
2299,On,A#4,1
2299,Off,A#4,1
2324,On,C4,1
2362,On,G3,1
2362,Off,C4,1
2425,Off,G3,1
2425,On,G#3,1
2463,On,D#3,1
2463,Off,G#3,1
2526, Program change event, Channel: 1
2526,On,C4,1
2526,On,G4,1
2526,On,C5,1
2539,Off,C4,1
2539,On,C4,1
2539,Off,G4,1
2539,On,G4,1
2539,Off,C5,1
2539,On,C5,1
2552,Off,C4,1
2552,Off,G4,1
2552,Off,C5,1
2577,Off,D#3,1
2577,On,G3,1
2577,On,D4,1
2577,On,G4,1
2589,Off,G3,1
2589,On,G3,1
2589,Off,D4,1
2589,On,D4,1
2589,Off,G4,1
2589,On,G4,1
2602,Off,G3,1
2602,Off,D4,1
2602,Off,G4,1
2627,On,G#3,1
2627,On,D#4,1
2627,On,G#4,1
2640,Off,G#3,1
2640,On,G#3,1
2640,Off,D#4,1
2640,On,D#4,1
2640,Off,G#4,1
2640,On,G#4,1
2653,Off,G#3,1
2653,Off,D#4,1
2653,Off,G#4,1
2665,On,D#3,1
2665,On,A#3,1
2665,On,D#4,1
2691,Off,D#3,1
2691,On,D#3,1
2691,Off,A#3,1
2691,On,A#3,1
2691,Off,D#4,1
2691,On,D#4,1
2703,Off,D#3,1
2703,On,D#3,1
2703,Off,A#3,1
2703,On,A#3,1
2703,Off,D#4,1
2703,On,D#4,1
2716,Off,D#3,1
2716,On,D#3,1
2716,Off,A#3,1
2716,On,A#3,1
2716,Off,D#4,1
2716,On,D#4,1
2728,Off,D#3,1
2728,On,G3,1
2728,Off,A#3,1
2728,On,C4,1
2728,Off,D#4,1
2728,On,G4,1
2728,On,C5,1
2741,Off,G3,1
2741,On,G3,1
2741,Off,C4,1
2741,On,C4,1
2741,Off,G4,1
2741,On,G4,1
2741,Off,C5,1
2741,On,C5,1
2754,Off,G3,1
2754,Off,C4,1
2754,Off,G4,1
2754,Off,C5,1
2779,On,G3,1
2779,On,D4,1
2779,On,G4,1
2792,Off,G3,1
2792,On,G3,1
2792,Off,D4,1
2792,On,D4,1
2792,Off,G4,1
2792,On,G4,1
2804,Off,G3,1
2804,Off,D4,1
2804,Off,G4,1
2829,On,G#3,1
2829,On,D#4,1
2829,On,G#4,1
2842,Off,G#3,1
2842,On,G#3,1
2842,Off,D#4,1
2842,On,D#4,1
2842,Off,G#4,1
2842,On,G#4,1
2855,Off,G#3,1
2855,Off,D#4,1
2855,Off,G#4,1
2867,On,D#3,1
2867,On,A#3,1
2867,On,D#4,1
2893,Off,D#3,1
2893,On,D#3,1
2893,Off,A#3,1
2893,On,A#3,1
2893,Off,D#4,1
2893,On,D#4,1
2905,Off,D#3,1
2905,On,D#3,1
2905,Off,A#3,1
2905,On,A#3,1
2905,Off,D#4,1
2905,On,D#4,1
2918,Off,D#3,1
2918,On,D#3,1
2918,Off,A#3,1
2918,On,A#3,1
2918,Off,D#4,1
2918,On,D#4,1
2931,Off,D#3,1
2931,On,G3,1
2931,Off,A#3,1
2931,On,C4,1
2931,Off,D#4,1
2931,On,G4,1
2931,On,C5,1
2943,Off,G3,1
2943,On,G3,1
2943,Off,C4,1
2943,On,C4,1
2943,Off,G4,1
2943,On,G4,1
2943,Off,C5,1
2943,On,C5,1
2956,Off,G3,1
2956,Off,C4,1
2956,Off,G4,1
2956,Off,C5,1
2981,On,G3,1
2981,On,D4,1
2981,On,G4,1
2994,Off,G3,1
2994,On,G3,1
2994,Off,D4,1
2994,On,D4,1
2994,Off,G4,1
2994,On,G4,1
3006,Off,G3,1
3006,Off,D4,1
3006,Off,G4,1
3032,On,G#3,1
3032,On,D#4,1
