File format - 1
# of Tracks - 3
Ticks/quarter note - 0

Start of track 1at Byte 14
Track length: 19
0: Tempo to 460299 usec/quarter note
0: Time Signature event

Start of track 2at Byte 41
Track length: 3983
1536: On, D4
1536: On, G4
1920: Off, D4
1920: Off, G4
1920: On, F4
1920: On, A#4
2304: Off, F4
2304: Off, A#4
2304: On, C4
2304: On, G4
2688: Off, C4
2688: Off, G4
2688: On, D4
2688: On, G4
3072: Off, D4
3072: Off, G4
3072: On, F4
3072: On, A#4
3456: Off, F4
3456: Off, A#4
3456: On, C#4
3456: On, G#4
3840: Off, C#4
3840: Off, G#4
3840: On, C4
3840: On, G4
4608: Off, C4
4608: Off, G4
4608: On, D4
4608: On, G4
4992: Off, D4
4992: Off, G4
4992: On, F4
4992: On, A#4
5376: Off, F4
5376: Off, A#4
5376: On, C4
5376: On, G4
5760: Off, C4
5760: Off, G4
5760: On, F4
5760: On, A#4
6144: Off, F4
6144: Off, A#4
6144: On, D4
6144: On, G4
8064: Off, D4
8064: Off, G4
8064: On, F4
8064: On, A#4
8448: Off, F4
8448: Off, A#4
8448: On, C4
8448: On, G4
8832: Off, C4
8832: Off, G4
8832: On, D4
8832: On, G4
9216: Off, D4
9216: Off, G4
9216: On, F4
9216: On, A#4
9600: Off, F4
9600: Off, A#4
9600: On, C#4
9600: On, G#4
9984: Off, C#4
9984: Off, G#4
9984: On, C4
9984: On, G4
10752: Off, C4
10752: Off, G4
10752: On, D4
10752: On, G4
11136: Off, D4
11136: Off, G4
11136: On, F4
11136: On, A#4
11520: Off, F4
11520: Off, A#4
11520: On, C4
11520: On, G4
11904: Off, C4
11904: Off, G4
11904: On, F4
11904: On, A#4
12288: Off, F4
12288: Off, A#4
12288: On, D4
12288: On, G4
14208: Off, D4
14208: Off, G4
14208: On, F4
14208: On, A#4
14592: Off, F4
14592: Off, A#4
14592: On, C4
14592: On, G4
14976: Off, C4
14976: Off, G4
14976: On, D4
14976: On, G4
15360: Off, D4
15360: Off, G4
15360: On, F4
15360: On, A#4
15744: Off, F4
15744: Off, A#4
15744: On, C#4
15744: On, G#4
16128: Off, C#4
16128: Off, G#4
16128: On, C4
16128: On, G4
16896: Off, C4
16896: Off, G4
16896: On, D4
16896: On, G4
17280: Off, D4
17280: Off, G4
17280: On, F4
17280: On, A#4
17664: Off, F4
17664: Off, A#4
17664: On, C4
17664: On, G4
18048: Off, C4
18048: Off, G4
18048: On, F4
18048: On, A#4
18432: Off, F4
18432: Off, A#4
18432: On, D4
18432: On, G4
20352: Off, D4
20352: Off, G4
20352: On, F4
20352: On, A#4
